Stove Type,M2200,Latitude,64.85657,Longitude,-147.893,,,
Timestamp of each PUMA device reading,Indoor temperature read by the thermistor monitored by the PUMA device,Outdoor temperature interpolated using area temperature data from Snotel,Temperature difference between the indoor and outdoor temperatures
"Time since 1970, 1, 1, 00:00:00 UTC (Unix time)",F,F,F
1543841901.0,72,21,50
1543842259.0,66,21,44
1543842559.0,65,21,43
1543842859.0,65,21,43
1543843159.0,65,22,43
1543843459.0,65,22,43
1543843759.0,65,22,43
1543843981.0,64,22,42
1543844280.0,65,22,43
1543844337.0,65,22,43
1543844477.0,67,22,44
1543844834.0,66,22,44
1543845135.0,64,22,42
1543845435.0,64,22,42
1543845735.0,65,22,42
1543846035.0,65,22,42
1543846335.0,64,22,41
1543846635.0,64,22,41
1543846935.0,64,22,41
1543847236.0,63,22,40
1543847536.0,63,22,40
1543847836.0,63,22,40
1543848136.0,62,22,40
1543848436.0,62,22,40
1543848736.0,62,22,39
1543849036.0,62,22,40
1543849337.0,62,22,39
1543849637.0,61,22,38
1543849937.0,61,22,38
1543850237.0,61,22,38
1543850537.0,61,22,38
1543850838.0,61,22,38
1543851138.0,61,23,38
1543851438.0,61,23,38
1543851738.0,61,23,38
1543852039.0,60,23,37
1543852339.0,60,23,37
1543852639.0,60,23,37
1543852940.0,59,23,36
1543853240.0,60,23,36
1543853540.0,60,23,37
1543853840.0,60,23,37
1543854140.0,59,23,36
1543854440.0,59,23,36
1543854740.0,59,23,36
1543855041.0,59,23,36
1543855341.0,59,23,36
1543855641.0,59,23,36
1543855941.0,59,23,36
1543856013.0,59,23,36
1543856312.0,61,23,38
1543856368.0,62,23,39
1543856425.0,62,23,39
1543856693.0,65,23,41
1543856750.0,65,23,42
1543857104.0,65,23,42
1543857369.0,65,23,42
1543857726.0,64,23,41
1543858026.0,63,23,39
1543858327.0,63,23,40
1543858627.0,63,23,40
1543858927.0,63,23,39
1543859227.0,62,23,39
1543859527.0,62,23,39
1543859828.0,62,23,38
1543860128.0,61,23,37
1543860428.0,61,23,37
1543860728.0,60,23,37
1543861029.0,61,23,37
1543861329.0,59,23,36
1543861629.0,60,23,36
1543861929.0,60,23,36
1543862229.0,60,23,36
1543862529.0,59,23,35
1543862829.0,59,23,36
1543863130.0,59,23,35
1543863392.0,59,23,35
1543863691.0,61,23,38
1543863748.0,61,23,38
1543863806.0,62,23,39
1543864141.0,64,23,40
1543864498.0,64,23,41
1543864798.0,65,23,42
1543864939.0,65,23,41
1543865296.0,63,23,40
1543865596.0,63,23,39
1543865896.0,63,23,39
1543866197.0,63,23,39
1543866497.0,62,23,38
1543866797.0,61,23,37
1543866927.0,61,23,38
1543867225.0,62,23,39
1543867281.0,63,23,40
1543867635.0,68,24,44
1543867936.0,70,24,46
1543868236.0,72,24,48
1543868536.0,73,24,49
1543868836.0,73,24,49
1543869136.0,73,24,49
1543869376.0,76,24,51
1543869732.0,76,24,51
1543869913.0,78,24,53
1543870283.0,75,24,50
1543870584.0,74,24,49
1543870884.0,74,24,49
1543871184.0,74,24,50
1543871485.0,74,24,49
1543871785.0,74,24,49
1543872085.0,73,24,48
1543872385.0,74,24,49
1543872685.0,75,24,50
1543872985.0,74,25,49
1543873285.0,74,25,49
1543873585.0,75,25,50
1543873885.0,74,25,49
1543874186.0,75,25,50
1543874486.0,74,25,49
1543874786.0,75,25,50
1543874842.0,74,25,49
1543875199.0,74,25,49
1543875499.0,73,25,48
1543875800.0,73,25,47
1543876100.0,71,25,46
1543876400.0,72,25,47
1543876700.0,66,25,40
1543877000.0,64,25,39
1543877301.0,65,25,40
1543877600.0,65,25,39
1543877901.0,65,25,39
1543878201.0,64,25,39
1543878502.0,65,25,39
1543878802.0,64,25,38
1543879102.0,64,25,38
1543879402.0,64,25,39
1543879702.0,64,25,38
1543880002.0,64,25,38
1543880303.0,63,25,38
1543880603.0,64,25,38
1543880903.0,64,25,38
1543881203.0,64,25,38
1543881503.0,64,25,38
1543881803.0,64,25,38
1543882104.0,63,25,38
1543882404.0,63,25,38
1543882704.0,63,25,37
1543883004.0,64,25,38
1543883304.0,63,25,37
1543883605.0,63,25,37
1543883905.0,63,25,38
1543884205.0,62,25,37
1543884506.0,63,25,38
1543884806.0,63,25,38
1543885106.0,62,25,37
1543885407.0,63,25,38
1543885707.0,62,25,37
1543886007.0,62,25,37
1543886307.0,62,25,37
1543886607.0,62,25,36
1543886908.0,61,25,36
1543887208.0,62,25,37
1543887509.0,62,25,37
1543887809.0,62,25,37
1543888109.0,61,25,36
1543888410.0,61,25,36
1543888484.0,61,25,35
1543888782.0,61,25,36
1543888839.0,61,25,36
1543889108.0,61,25,36
1543889463.0,61,25,36
1543889733.0,62,25,37
1543890090.0,61,24,36
1543890390.0,62,24,37
1543890691.0,62,24,37
1543890991.0,62,24,37
1543891291.0,62,24,37
1543891591.0,61,24,37
1543891892.0,61,24,37
1543892192.0,62,23,38
1543892492.0,60,23,37
1543892793.0,61,23,37
1543893093.0,63,23,39
1543893393.0,61,23,37
1543893693.0,62,23,38
1543893994.0,61,23,38
1543894294.0,61,23,37
1543894595.0,61,23,37
1543894654.0,59,23,36
1543894926.0,60,23,37
1543894983.0,61,23,37
1543895037.0,60,23,37
1543895318.0,60,23,37
1543895689.0,62,23,38
1543895989.0,62,23,38
1543896222.0,61,23,37
1543896580.0,61,23,38
1543896880.0,61,23,38
1543897181.0,61,23,38
1543897481.0,61,23,38
1543897781.0,61,23,38
1543898082.0,61,23,38
1543898382.0,61,23,38
1543898682.0,61,22,38
1543898983.0,61,22,38
1543899283.0,60,22,37
1543899583.0,60,22,37
1543899883.0,60,22,38
1543900184.0,60,22,38
1543900436.0,61,21,39
1543900735.0,60,21,39
1543900792.0,61,21,39
1543900850.0,61,21,40
1543901185.0,60,20,39
1543901242.0,61,20,40
1543901599.0,61,20,41
1543901899.0,61,19,41
1543902199.0,60,19,41
1543902256.0,61,19,42
1543902613.0,61,18,42
1543902913.0,61,18,43
1543903213.0,61,18,43
1543903513.0,61,17,44
1543903814.0,61,17,44
1543904114.0,61,17,44
1543904414.0,61,16,44
1543904714.0,60,16,44
1543905014.0,61,15,45
1543905315.0,60,15,45
1543905615.0,60,15,45
1543905915.0,60,14,46
1543906131.0,60,14,46
1543906430.0,59,14,45
1543906564.0,60,14,46
1543906920.0,60,13,46
1543906979.0,60,13,46
1543907336.0,60,13,47
1543907636.0,60,13,47
1543907936.0,60,13,47
1543908156.0,61,12,48
1543908513.0,60,12,48
1543908814.0,60,12,48
1543909114.0,63,12,51
1543909272.0,64,12,52
1543909570.0,64,11,52
1543909627.0,65,11,53
1543909983.0,69,11,58
1543910283.0,71,11,59
1543910583.0,72,11,61
1543910792.0,73,11,61
1543911149.0,72,11,61
1543911380.0,73,11,61
1543911737.0,71,11,59
1543912037.0,70,11,58
1543912337.0,68,11,56
1543912638.0,68,12,56
1543912938.0,68,12,56
1543913238.0,66,12,54
1543913538.0,66,12,54
1543913838.0,65,12,53
1543914138.0,65,12,52
1543914437.0,65,12,52
1543914738.0,64,12,51
1543915038.0,64,12,51
1543915338.0,63,12,50
1543915638.0,63,12,50
1543915938.0,63,12,50
1543916238.0,62,12,49
1543916538.0,62,12,49
1543916838.0,62,12,49
1543917138.0,62,12,49
1543917438.0,61,12,48
1543917739.0,61,12,48
1543918039.0,60,12,47
1543918339.0,61,12,49
1543918639.0,61,12,48
1543918939.0,60,12,48
1543919239.0,61,12,49
1543919539.0,61,11,49
1543919839.0,60,11,48
1543920140.0,60,11,48
1543920439.0,60,11,49
1543920740.0,60,11,48
1543921040.0,60,11,49
1543921340.0,59,10,48
1543921641.0,60,10,49
1543921941.0,59,10,48
1543922241.0,59,10,48
1543922541.0,59,10,48
1543922841.0,59,10,48
1543923141.0,59,10,48
1543923441.0,58,10,48
1543923742.0,59,10,48
1543924042.0,58,10,47
1543924342.0,58,10,48
1543924642.0,58,10,48
1543924943.0,58,10,48
1543925243.0,57,10,47
1543925543.0,58,10,47
1543925843.0,57,10,47
1543926143.0,57,10,47
1543926443.0,57,10,47
1543926743.0,57,10,47
1543927044.0,57,10,47
1543927344.0,57,9,47
1543927644.0,57,9,47
1543927945.0,56,9,46
1543928246.0,56,9,46
1543928546.0,56,9,46
1543928846.0,57,9,47
1543929146.0,56,9,47
1543929446.0,56,9,47
1543929747.0,58,9,48
1543930047.0,56,9,46
1543930247.0,56,9,46
1543930546.0,58,9,48
1543930696.0,59,9,50
1543931000.0,61,9,52
1543931356.0,62,9,52
1543931657.0,62,9,53
1543931782.0,62,9,53
1543932138.0,59,9,50
1543932438.0,59,9,49
1543932738.0,59,8,50
1543933038.0,57,8,48
1543933338.0,57,8,49
1543933639.0,58,8,50
1543933939.0,57,8,48
1543934239.0,56,8,48
1543934539.0,56,8,48
1543934839.0,56,7,48
1543935139.0,56,7,48
1543935440.0,56,7,48
1543935740.0,56,7,48
1543936040.0,56,7,49
1543936136.0,56,7,48
1543936435.0,57,7,50
1543936592.0,60,7,52
1543936649.0,61,7,53
1543936928.0,61,7,54
1543937284.0,61,7,54
1543937585.0,61,6,55
1543937765.0,62,6,55
1543938122.0,60,6,53
1543938423.0,58,6,51
1543938723.0,58,6,52
1543939023.0,57,6,51
1548437188.0,63,25,38
1548437545.0,63,25,37
1548437845.0,63,25,37
1548437904.0,62,25,36
1548437960.0,63,25,37
1548438017.0,62,25,37
1548438074.0,63,25,37
1548438160.0,64,25,38
1548438216.0,64,25,38
1548438276.0,65,25,39
1548438335.0,65,25,39
1548438394.0,65,25,39
1548438451.0,65,25,39
1548438511.0,66,25,40
1548438567.0,66,25,40
1548438639.0,67,25,41
1548438695.0,66,26,40
1548439052.0,66,26,40
1548439353.0,67,26,40
1548439653.0,67,26,41
1548439953.0,65,26,39
1548440253.0,66,26,39
1548440554.0,64,26,37
1548440854.0,64,26,38
1548441154.0,64,26,37
1548441454.0,63,26,37
1548441755.0,64,26,37
1548442055.0,63,26,36
1548442355.0,63,27,36
1548442655.0,63,27,36
1548442955.0,63,27,36
1548443255.0,62,27,35
1548443556.0,62,27,35
1548443620.0,62,27,35
1548443676.0,62,27,35
1548443734.0,63,27,36
1548443790.0,62,27,35
1548443853.0,63,27,36
1548443910.0,62,27,35
1548443970.0,64,27,37
1548444027.0,64,27,37
1548444086.0,65,27,37
1548444143.0,64,27,37
1548444199.0,65,27,38
1548444255.0,66,27,39
1548444313.0,66,27,38
1548444369.0,66,27,39
1548444429.0,66,27,39
1548444487.0,66,27,39
1548444554.0,67,27,40
1548444611.0,67,27,40
1548444677.0,67,27,40
1548444733.0,66,27,39
1548444952.0,67,27,40
1548445007.0,67,27,40
1548445365.0,66,27,39
1548445665.0,65,27,38
1548445965.0,65,27,38
1548446266.0,64,27,37
1548446566.0,65,27,37
1548446866.0,64,27,37
1548447167.0,63,27,36
1548447467.0,64,27,37
1548447767.0,64,27,37
1548448068.0,63,27,36
1548448368.0,63,27,36
1548448668.0,62,27,35
1548448968.0,63,27,36
1548449269.0,62,27,35
1548449569.0,62,27,35
1548449704.0,62,26,35
1548449760.0,63,26,36
1548449815.0,63,26,36
1548449872.0,63,26,36
1548449929.0,63,26,36
1548449985.0,62,26,35
1548450044.0,64,26,37
1548450102.0,64,26,37
1548450159.0,64,26,37
1548450216.0,65,26,38
1548450275.0,65,26,38
1548450331.0,65,26,38
1548450389.0,66,26,39
1548450446.0,66,26,39
1548450501.0,67,26,40
1548450557.0,66,26,39
1548450621.0,67,26,40
1548450678.0,67,26,40
1548450759.0,66,26,40
1548450816.0,67,26,40
1548450991.0,67,26,40
1548451047.0,67,26,40
1548451405.0,68,26,41
1548451705.0,66,26,40
1548452005.0,65,26,39
1548452306.0,65,26,38
1548452606.0,64,26,38
1548452906.0,64,26,38
1548453207.0,64,26,38
1548453507.0,64,26,38
1548453808.0,63,26,37
1548454108.0,63,26,37
1548454408.0,63,26,36
1548454709.0,63,26,36
1548455009.0,63,26,36
1548455309.0,62,26,36
1548455609.0,62,26,35
1548455805.0,62,26,36
1548455862.0,62,26,35
1548455919.0,62,26,35
1548455976.0,63,26,36
1548456050.0,62,26,36
1548456107.0,64,26,37
1548456164.0,63,26,36
1548456221.0,63,26,37
1548456278.0,65,26,38
1548456334.0,65,26,38
1548456392.0,65,26,38
1548456448.0,65,26,38
1548456507.0,66,26,39
1548456565.0,66,26,39
1548456637.0,66,26,39
1548456693.0,66,26,39
1548456751.0,67,26,40
1548456808.0,65,26,38
1548456884.0,67,26,40
1548456940.0,67,26,40
1548457067.0,67,26,40
1548457124.0,66,26,39
1548457481.0,67,27,40
1548457782.0,66,27,39
1548458082.0,65,27,38
1548458383.0,65,27,37
1548458683.0,64,27,37
1548458983.0,64,27,36
1548459283.0,64,27,37
1548459584.0,64,27,36
1548459884.0,64,27,36
1548460184.0,63,27,35
1548460485.0,63,27,35
1548460785.0,64,28,36
1548461085.0,63,28,35
1548461386.0,63,28,35
1548461686.0,62,28,34
1548461986.0,62,28,34
1548462125.0,63,28,35
1548462182.0,62,28,34
1548462240.0,63,28,35
1548462299.0,62,28,34
1548462357.0,63,28,35
1548462412.0,63,28,35
1548462468.0,64,28,36
1548462524.0,64,28,36
1548462583.0,65,28,37
1548462640.0,65,28,37
1548462701.0,65,28,37
1548462759.0,65,28,37
1548462817.0,66,28,38
1548462874.0,65,28,37
1548462940.0,66,28,37
1548462997.0,67,28,39
1548463056.0,66,28,38
1548463115.0,67,28,38
1548463180.0,67,28,38
1548463237.0,66,28,38
1548463592.0,67,28,39
1548463893.0,67,28,38
1548464193.0,65,28,37
1548464493.0,65,28,36
1548464794.0,65,28,36
1548465094.0,64,28,36
1548465394.0,64,28,36
1548465695.0,64,28,35
1548465996.0,63,28,34
1548466296.0,63,28,34
1548466596.0,63,29,34
1548466897.0,63,29,34
1548467197.0,62,29,33
1548467497.0,63,29,33
1548467798.0,63,29,33
1548467930.0,63,29,33
1548467986.0,62,29,33
1548468049.0,62,29,32
1548468105.0,63,29,34
1548468164.0,62,29,33
1548468218.0,63,29,34
1548468274.0,66,29,36
1548468331.0,64,29,34
1548468390.0,65,29,35
1548468448.0,65,29,35
1548468475.0,65,29,35
1548468536.0,66,29,36
1548468592.0,66,29,36
1548468648.0,66,29,36
1548468706.0,66,29,36
1548468760.0,67,29,37
1548468816.0,66,29,36
1548468871.0,66,29,37
1548468929.0,67,29,37
1548468984.0,66,29,37
1548469098.0,67,29,37
1548469152.0,67,29,37
1548469508.0,67,29,37
1548469808.0,67,29,37
1548470108.0,65,29,35
1548470409.0,65,29,35
1548470709.0,64,29,35
1548471010.0,64,29,34
1548471310.0,66,29,36
1548471610.0,63,29,34
1548471910.0,64,29,34
1548472211.0,63,30,33
1548472511.0,64,30,33
1548472811.0,62,30,32
1548473112.0,62,31,31
1548473413.0,63,31,32
1548473713.0,62,31,30
1548473845.0,62,31,30
1548473903.0,63,31,31
1548473960.0,62,31,31
1548474017.0,63,31,31
1548474081.0,62,32,30
1548474137.0,62,32,30
1548474197.0,64,32,32
1548474254.0,64,32,32
1548474312.0,65,32,33
1548474368.0,65,32,33
1548474425.0,66,32,34
1548474482.0,66,32,34
1548474545.0,67,32,34
1548474602.0,67,32,34
1548474658.0,66,32,34
1548474715.0,67,32,34
1548474771.0,67,32,34
1548474835.0,66,32,34
1548474891.0,68,32,35
1548474952.0,67,32,34
1548475008.0,67,32,34
1548475365.0,68,33,35
1548475665.0,67,32,34
1548475965.0,65,32,32
1548476266.0,65,32,32
1548476566.0,64,32,31
1548476866.0,64,32,31
1548477166.0,64,32,31
1548477467.0,63,32,31
1548477767.0,64,32,31
1548478067.0,64,32,31
1548478367.0,63,32,30
1548478667.0,63,32,30
1548484426.0,60,32,28
1548484782.0,60,32,28
1548484842.0,60,32,27
1548484898.0,60,32,28
1548484955.0,61,32,28
1548485012.0,60,32,28
1548485072.0,60,32,28
1548485127.0,61,32,29
1548485183.0,61,32,29
1548485240.0,62,32,30
1548485304.0,63,32,31
1548485360.0,63,32,31
1548485440.0,65,32,33
1548485496.0,65,32,33
1548485555.0,66,32,34
1548485611.0,66,32,33
1548485673.0,66,32,34
1548485729.0,66,32,34
1548486087.0,67,32,34
1548486387.0,67,32,35
1548486687.0,66,31,34
1548486987.0,68,31,36
1548487288.0,68,31,36
1548487588.0,68,31,36
1548491261.0,62,28,34
1548491317.0,62,28,34
1548491381.0,64,28,35
1548491437.0,64,28,35
1548491495.0,64,28,36
1548491551.0,65,28,37
1548491609.0,65,28,37
1548491666.0,65,28,37
1548491730.0,65,28,37
1548491786.0,67,28,39
1548492143.0,66,27,38
1548492444.0,67,27,40
1548492745.0,67,26,40
1548493045.0,67,26,41
1548493345.0,64,26,38
1548493646.0,65,26,39
1548493946.0,65,26,38
1548494246.0,64,26,38
1548494546.0,64,26,37
1548494847.0,64,26,37
1548495147.0,62,26,36
1548495447.0,63,26,37
1548495747.0,63,26,37
1548496048.0,62,26,36
1548496348.0,62,26,36
1548496540.0,62,26,36
1548496597.0,63,26,36
1548496654.0,63,26,36
1548496711.0,62,26,36
1548496768.0,63,26,37
1548496826.0,62,26,36
1548496884.0,64,26,38
1548496941.0,65,26,38
1548497003.0,65,26,38
1548497059.0,65,26,38
1548497122.0,66,26,39
1548497178.0,65,26,39
1548497241.0,66,26,40
1548497297.0,66,26,39
1548497371.0,66,26,40
1548497427.0,67,26,41
1548497484.0,66,26,40
1548497541.0,67,26,40
1548497603.0,66,26,40
1548497658.0,67,26,41
1548498015.0,68,25,42
1548498316.0,67,25,41
1548498616.0,65,25,40
1548498916.0,66,25,40
1548499217.0,65,25,40
1548499517.0,64,25,38
1548499817.0,63,25,38
1548500117.0,63,25,38
1548500417.0,63,24,38
1548500718.0,64,24,39
1548501019.0,63,24,38
1548501319.0,62,24,38
1548501620.0,63,24,39
1548501723.0,62,24,37
1548501780.0,62,24,38
1548501839.0,63,24,38
1548501896.0,63,24,39
1548502003.0,63,24,39
1548502060.0,63,24,39
1548502119.0,64,24,40
1548502176.0,64,24,40
1548502232.0,65,24,41
1548502287.0,65,24,41
1548502345.0,66,24,42
1548502401.0,65,24,41
1548502459.0,65,24,41
1548502515.0,66,24,42
1548502573.0,66,24,42
1548502630.0,67,23,43
1548502690.0,66,23,42
1548502747.0,67,23,43
1548502934.0,67,23,43
1548502991.0,67,23,43
1548503348.0,67,23,44
1548503649.0,66,23,43
1548503949.0,67,23,43
1548504250.0,65,23,42
1548504550.0,64,23,41
1548504850.0,64,23,41
1548505150.0,64,23,41
1548505451.0,64,23,41
1548505751.0,64,23,41
1548506052.0,63,22,40
1548506352.0,62,22,40
1548506652.0,63,22,40
1548506937.0,62,22,39
1548506994.0,63,22,40
1548507052.0,63,22,40
1548507108.0,62,22,39
1548507168.0,63,22,40
1548507240.0,63,22,41
1548507298.0,64,22,41
1548507355.0,64,22,41
1548507413.0,64,22,42
1548507469.0,64,22,42
1548507532.0,66,22,43
1548507589.0,66,22,43
1548507654.0,66,22,43
1548507711.0,66,22,43
1548507770.0,66,22,43
1548507829.0,67,22,44
1548507899.0,67,22,44
1548507958.0,67,22,44
1548508315.0,67,22,44
1548508615.0,68,22,45
1548508916.0,67,22,44
1548509216.0,66,22,43
1548509516.0,65,23,42
1548509816.0,65,23,42
1548510117.0,63,23,40
1548510417.0,62,23,39
1548510717.0,63,23,39
1548510785.0,62,23,39
1548510841.0,62,23,39
1548510912.0,63,23,39
1548510970.0,63,23,40
1548511027.0,63,23,40
1548511083.0,64,23,40
1548511140.0,64,23,40
1548511196.0,65,23,42
1548511254.0,66,23,42
1548511311.0,66,23,43
1548511368.0,65,23,42
1548511426.0,65,23,42
1548511490.0,67,23,43
1548511562.0,66,23,43
1548511639.0,66,23,42
1548511696.0,66,23,43
1548511833.0,67,23,43
1548511890.0,67,23,43
1548512247.0,67,23,44
1548512548.0,67,23,43
1548512848.0,66,23,43
1548513148.0,65,23,42
1548513448.0,65,23,41
1548513749.0,64,23,41
1548514049.0,64,23,41
1548514349.0,64,23,41
1548514650.0,64,23,40
1548514950.0,64,23,40
1548515251.0,63,23,39
1548515551.0,62,23,39
1548515727.0,62,23,38
1548515784.0,63,23,39
1548515841.0,63,23,39
1548515897.0,62,23,38
1548515961.0,63,24,39
1548516018.0,63,24,39
1548516076.0,63,24,39
1548516132.0,65,24,41
1548516190.0,64,24,40
1548516247.0,65,24,41
1548516303.0,65,24,41
1548516358.0,65,24,41
1548516419.0,65,24,41
1548516475.0,66,24,42
1548516540.0,66,24,42
1548516597.0,66,24,42
1548516688.0,66,24,42
1548516748.0,66,24,42
1548517105.0,66,24,42
1548517406.0,67,24,43
1548517706.0,68,24,44
1548518006.0,66,24,42
1548518307.0,65,24,40
1548518607.0,65,24,41
1548518907.0,64,24,39
1548519207.0,64,24,39
1548519508.0,64,24,40
1548519808.0,63,24,39
1548520108.0,63,24,38
1548520409.0,63,24,38
1548520709.0,63,24,38
1548520836.0,63,24,38
1548520892.0,62,24,38
1548520956.0,63,24,38
1548521013.0,62,24,37
1548521074.0,62,24,38
1548521131.0,63,24,38
1548521187.0,64,24,39
1548521245.0,64,24,39
1548521301.0,65,24,40
1548521362.0,66,24,41
1548521418.0,65,24,41
1548521478.0,65,24,40
1548521534.0,66,24,41
1548521591.0,66,24,41
1548521648.0,66,24,42
1548521708.0,68,24,43
1548521764.0,66,24,42
1548522121.0,68,24,43
1548522421.0,67,24,42
1548522722.0,67,24,43
1548523022.0,68,24,43
1548523322.0,65,24,40
1548523623.0,65,24,40
1548523923.0,64,24,40
1548524223.0,64,24,39
1548524524.0,64,24,40
1548524824.0,63,24,39
1548525124.0,62,24,38
1548525424.0,63,24,38
1548525632.0,63,24,38
1548525688.0,62,24,38
1548525746.0,62,24,38
1548525803.0,62,24,38
1548525892.0,63,24,39
1548525949.0,64,24,40
1548526007.0,64,24,40
1548526063.0,65,24,41
1548526124.0,65,23,41
1548526181.0,65,23,42
1548526239.0,66,23,42
1548526296.0,65,23,42
1548526353.0,66,23,42
1548526409.0,67,23,43
1548526467.0,66,23,42
1548526522.0,67,23,44
1548526650.0,67,23,43
1548526706.0,66,23,43
1548526770.0,67,23,44
1548526826.0,67,23,43
1548527184.0,66,22,43
1548527484.0,66,22,43
1548527785.0,68,22,45
1548528085.0,67,22,45
1548528385.0,66,21,44
1548528685.0,64,21,43
1548528986.0,64,21,43
1548529286.0,64,20,43
1548529586.0,63,20,43
1548529886.0,63,20,43
1548530187.0,63,20,42
1548530487.0,63,20,43
1548530701.0,62,20,42
1548530758.0,63,20,42
1548530820.0,63,20,43
1548530877.0,62,20,42
1548530939.0,63,20,43
1548530995.0,64,20,44
1548531054.0,63,20,43
1548531110.0,65,20,45
1548531169.0,66,20,46
1548531227.0,65,20,45
1548531283.0,65,19,45
1548531345.0,66,19,46
1548531402.0,66,19,46
1548531462.0,66,19,46
1548531518.0,67,19,47
1548531579.0,67,19,47
1548531635.0,67,19,47
1548531755.0,67,19,48
1548531812.0,67,19,47
1548531906.0,67,19,47
1548531963.0,67,19,47
1548532323.0,67,19,48
1548532624.0,66,19,47
1548532924.0,67,19,48
1548533224.0,68,19,48
1548533524.0,66,19,47
1548533825.0,65,19,46
1548534125.0,64,19,45
1548534425.0,63,18,44
1548534726.0,63,18,44
1548535026.0,63,18,44
1548535326.0,63,18,44
1548535579.0,62,18,44
1548535635.0,63,18,44
1548535695.0,63,18,44
1548535752.0,62,18,43
1548535811.0,63,18,44
1548535868.0,63,18,45
1548535926.0,63,18,45
1548535982.0,64,18,45
1548536041.0,64,18,46
1548536095.0,65,18,47
1548536155.0,66,18,47
1548536212.0,65,18,46
1548536276.0,66,18,47
1548536348.0,66,18,48
1548536407.0,67,18,48
1548536463.0,66,18,48
1548536666.0,67,18,49
1548536723.0,67,18,48
1548537080.0,67,18,48
1548537380.0,67,19,48
1548537681.0,67,19,47
1548537981.0,67,19,48
1548538281.0,67,19,47
1548538581.0,65,19,45
1548538882.0,65,19,46
1548539182.0,63,19,44
1548539482.0,63,19,43
1548539782.0,63,19,43
1548540082.0,63,19,44
1548540383.0,63,19,43
1548540571.0,63,19,43
1548540627.0,62,19,43
1548540686.0,63,19,43
1548540742.0,63,19,43
1548540799.0,63,19,43
1548540856.0,63,19,43
1548540916.0,64,19,44
1548540972.0,64,19,44
1548541029.0,64,19,45
1548541089.0,66,19,46
1548541146.0,66,19,46
1548541203.0,66,19,47
1548541262.0,67,19,47
1548541319.0,66,19,46
1548541377.0,66,19,47
1548541434.0,67,19,47
1548541500.0,67,19,47
1548541556.0,67,19,47
1548541913.0,67,19,48
1548542214.0,67,19,48
1548542514.0,67,19,48
1548542814.0,67,19,48
1548543115.0,67,19,48
1548543415.0,66,18,47
1548543715.0,65,18,47
1548544015.0,65,18,46
1548544315.0,63,18,44
1548544616.0,63,18,45
1548544916.0,63,18,45
1548545216.0,63,18,44
1548545274.0,62,18,44
1548545330.0,63,18,45
1548545409.0,62,18,44
1548545466.0,63,18,45
1548545529.0,64,18,45
1548545586.0,64,18,45
1548545642.0,63,18,45
1548545699.0,64,18,46
1548545758.0,65,18,47
1548545814.0,65,18,47
1548545871.0,66,18,48
1548545928.0,66,18,48
1548545985.0,66,18,48
1548546044.0,66,18,48
1548546102.0,66,18,48
1548546158.0,66,18,48
1548546515.0,66,18,48
1548546816.0,67,18,49
1548547116.0,67,17,49
1548547416.0,68,17,50
1548547716.0,67,17,49
1548548017.0,67,17,49
1548548317.0,66,17,48
1548548617.0,65,17,48
1548548918.0,65,17,47
1548549218.0,64,17,47
1548549518.0,63,17,46
1548549819.0,64,17,47
1548550119.0,63,17,46
1548550419.0,63,16,46
1548550486.0,62,16,45
1548550542.0,61,16,44
1548550603.0,63,16,46
1548550660.0,63,16,46
1548550736.0,63,16,46
1548550792.0,63,16,46
1548550871.0,64,16,47
1548550930.0,64,16,48
1548550987.0,64,16,48
1548551043.0,65,16,49
1548551100.0,66,16,49
1548551156.0,67,16,50
1548551216.0,66,16,50
1548551276.0,66,16,50
1548551334.0,66,16,50
1548551395.0,66,16,50
1548551762.0,67,16,51
1548552062.0,67,16,51
1548552363.0,68,15,52
1548552663.0,68,15,52
1548552964.0,66,15,51
1548553264.0,65,15,50
1548553564.0,65,14,50
1548553864.0,65,14,50
1548554165.0,64,14,50
1548554465.0,64,14,49
1548554766.0,63,13,49
1548555066.0,63,13,50
1548555366.0,63,12,50
1548555426.0,62,12,49
1548555484.0,62,12,49
1548555545.0,63,12,50
1548555602.0,63,12,50
1548555683.0,64,12,52
1548555739.0,63,12,51
1548555800.0,65,12,52
1548555857.0,65,12,53
1548555915.0,66,12,54
1548555972.0,65,11,53
1548556028.0,67,11,55
1548556088.0,66,11,54
1548556149.0,66,11,54
1548556205.0,67,11,55
1548556264.0,67,11,55
1548556334.0,66,11,55
1548556405.0,67,11,56
1548556462.0,66,11,55
1548556819.0,67,10,56
1548557119.0,68,10,58
1548557420.0,67,9,57
1548557720.0,67,9,58
1548558020.0,67,8,58
1548558320.0,65,8,56
1548558621.0,65,8,56
1548558922.0,64,8,56
1548559222.0,64,8,55
1548559522.0,63,8,55
1548559822.0,63,8,55
1548560123.0,63,8,54
1548560423.0,62,8,54
1548560708.0,63,8,54
1548560765.0,62,8,54
1548560821.0,62,8,54
1548560877.0,62,8,54
1548560934.0,63,8,54
1548560991.0,63,8,55
1548561050.0,63,8,55
1548561107.0,64,8,56
1548561164.0,65,8,56
1548561220.0,65,8,57
1548561277.0,66,8,58
1548561336.0,66,8,58
1548561393.0,66,8,57
1548561450.0,66,8,58
1548561515.0,66,8,58
1548561574.0,66,8,58
1548561716.0,67,8,59
1548561772.0,67,8,59
1548562050.0,68,8,59
1548562107.0,68,8,59
1548562464.0,68,7,60
1548562765.0,68,7,60
1548563065.0,67,7,59
1548563366.0,65,7,58
1548563666.0,65,7,57
